"","category","name","Runs","Sample","time.point","Fmate","Start","Stop","diff","time","name.1","total.counts","Man.beads","Man.picoEuks.syn","Man.syn.beads","Man.synpop1","Man.synpop2","Man.synpop3","Man.prochloro","Comp.synpop1","Comp.synpop2","Comp.synpop3","Comp.prochloro","picophyto","fullSyn","synPop1","synPop2","synPop3","prochl","bactAndPro","hetBact"
"1","siderastrea","KDHII_38_7Mar18_001.fcs",3,"S6-april29",0,193,2.4539,2.2497,0.2042,"8min","KDHII_38_7Mar18_001.fcs",280315,2166,3131,4447,972,388,656,18855,912,379,618,17803,4162.58570029383,11170.4211557297,4760.03917727718,1900.09794319295,3212.53672869736,92335.945151812,543345.794392523,451009.849240711
"2","siderastrea","KDHII_38_7Mar18_002.fcs",3,"S6-april29",1,192,2.4514,2.2498,0.2016,"8min","KDHII_38_7Mar18_002.fcs",243309,2223,3223,4841,1167,454,745,19175,1104,446,706,18213,3000.99206349206,12986.1111111111,5788.69047619048,2251.98412698413,3695.43650793651,95114.0873015873,530018.72659176,434904.639290173
"3","siderastrea","KDHII_38_7Mar18_003.fcs",3,"S6-april29",2,192,2.4329,2.2297,0.2032,"8min","KDHII_38_7Mar18_003.fcs",244981,2243,2954,4504,1067,395,603,21607,1010,389,559,20412,3410.43307086614,11126.968503937,5250.9842519685,1943.89763779528,2967.51968503937,106333.661417323,517894.736842105,411561.075424782
"4","madracis","KDHII_38_7Mar18_004.fcs",3,"MM5-april29",0,188,2.3922,2.1902,0.202,"8min","KDHII_38_7Mar18_004.fcs",246418,2248,3211,4794,1225,493,627,19737,1137,488,591,18710,3292.07920792079,12603.9603960396,6064.35643564356,2440.59405940594,3103.9603960396,97707.9207920792,518216.318785579,420508.3979935
"5","madracis","KDHII_38_7Mar18_005.fcs",3,"MM5-april29",1,191,2.4035,2.2004,0.2031,"8min","KDHII_38_7Mar18_005.fcs",220411,2251,2974,4755,1154,480,742,18387,1087,465,705,17540,2314.13096996553,12328.90201871,5681.93008370261,2363.36779911374,3653.37272279665,90531.7577548006,521200.750469043,430668.992714243
"6","madracis","KDHII_38_7Mar18_006.fcs",3,"MM5-april29",2,191,2.4898,2.2876,0.2022,"8min","KDHII_38_7Mar18_006.fcs",110702,2106,1306,3261,558,192,288,11080,529,190,273,10454,746.785361028685,5712.16617210683,2759.64391691395,949.554896142433,1424.33234421365,54797.2304648863,437667.910447761,382870.679982875
"7","porites","KDHII_38_7Mar18_007.fcs",3,"PA6-april29",0,189,2.4312,2.2282,0.203,"8min","KDHII_38_7Mar18_007.fcs",279862,2185,3163,4517,1071,450,643,19168,1001,443,610,18132,4093.5960591133,11487.684729064,5275.86206896552,2216.74876847291,3167.48768472906,94423.645320197,528773.234200744,434349.588880547
"8","porites","KDHII_38_7Mar18_008.fcs",3,"PA6-april29",1,190,2.3952,2.1928,0.2024,"8min","KDHII_38_7Mar18_008.fcs",239394,1963,3267,4714,1181,540,766,19134,1131,524,721,18158,2549.40711462451,13591.8972332016,5834.98023715415,2667.98418972332,3784.58498023715,94535.5731225296,557262.569832402,462726.996709873
"9","porites","KDHII_38_7Mar18_009.fcs",3,"PA6-april29",2,191,2.5054,2.3018,0.2036,"8min","KDHII_38_7Mar18_009.fcs",278344,1971,3486,4991,1434,503,804,27010,1331,491,739,25454,2288.80157170923,14833.0058939096,7043.22200392927,2470.5304518664,3948.91944990177,132662.082514735,739152.542372881,606490.459858147
"10","porites","KDHII_38_7Mar18_010.fcs",3,"PA5-april29",0,185,2.4995,2.2987,0.2008,"8min","KDHII_38_7Mar18_010.fcs",262301,2067,3202,4581,1165,472,715,19165,1089,470,672,18144,3426.29482071713,12519.9203187251,5801.79282868526,2350.59760956175,3560.75697211155,95443.2270916335,492264.150943396,396820.923851763
"11","porites","KDHII_38_7Mar18_011.fcs",3,"PA5-april29",1,190,2.5549,2.3531,0.2018,"8min","KDHII_38_7Mar18_011.fcs",262618,1850,3208,4561,1200,509,776,19758,1145,508,740,18753,2462.83448959366,13434.0931615461,5946.48166501487,2522.29930624381,3845.39147670961,97908.8206144698,493726.235741445,395817.415126975
"12","porites","KDHII_38_7Mar18_012.fcs",3,"PA5-april29",2,189,2.3956,2.1937,0.2019,"8min","KDHII_38_7Mar18_012.fcs",300566,1741,3413,4735,1421,526,860,28572,1359,520,807,26810,2075.2847944527,14829.1233283804,7038.1376919267,2605.25012382368,4259.53442298167,141515.601783061,525599.25093633,384083.649153269
"13","siderastrea","KDHII_38_7Mar18_013.fcs",3,"S5-april29",0,188,2.37,2.1719,0.1981,"8min","KDHII_38_7Mar18_013.fcs",291947,1810,3086,4184,1112,420,711,19326,1041,415,663,18299,3594.14437152953,11983.8465421504,5613.3266027259,2120.14134275618,3589.09641595154,97556.7895002524,524253.731343284,426696.941843031
"14","siderastrea","KDHII_38_7Mar18_014.fcs",3,"S5-april29",1,189,2.4573,2.2563,0.201,"8min","KDHII_38_7Mar18_014.fcs",241275,1736,3052,4265,1115,502,788,19276,1055,490,738,18271,2601.99004975124,12582.0895522388,5547.26368159204,2497.51243781095,3920.39800995025,95900.4975124378,508164.794007491,412264.296495053
"15","siderastrea","KDHII_38_7Mar18_015.fcs",3,"S5-april29",2,189,2.4458,2.2442,0.2016,"8min","KDHII_38_7Mar18_015.fcs",260187,1733,3335,4627,1426,514,759,27603,1350,509,705,25795,2187.5,14355.1587301587,7073.4126984127,2549.60317460317,3764.88095238095,136919.642857143,511612.903225807,374693.260368664
"16","madracis","KDHII_38_7Mar18_016.fcs",3,"MM6-april29",0,189,2.4042,2.2023,0.2019,"8min","KDHII_38_7Mar18_016.fcs",257451,1706,3153,4167,1042,520,721,18695,984,517,691,17887,3427.43932639921,12189.2025755324,5160.97077761268,2575.53244180287,3571.07478949975,92595.3442298167,421399.631675875,328804.287446058
"17","madracis","KDHII_38_7Mar18_017.fcs",3,"MM6-april29",1,190,2.4352,2.2328,0.2024,"8min","KDHII_38_7Mar18_017.fcs",235407,1719,3024,4279,1164,498,787,18894,1107,494,742,18015,2292.49011857708,12648.2213438735,5750.98814229249,2460.4743083004,3888.33992094862,93349.8023715415,529488.117001828,436138.314630287
"18","madracis","KDHII_38_7Mar18_018.fcs",3,"MM6-april29",2,189,2.4325,2.2304,0.2021,"8min","KDHII_38_7Mar18_018.fcs",201669,1602,2828,4209,1263,541,653,25857,1209,516,626,24242,1093.51806036616,12899.554675903,6249.38149430975,2676.89262741217,3231.07372587828,127941.61306284,500527.272727273,372585.659664433
"19","cont","KDHII_38_7Mar18_019.fcs",3,"Cont5-april29",0,190,2.4526,2.2502,0.2024,"8min","KDHII_38_7Mar18_019.fcs",236707,1630,3103,4013,1059,522,658,19194,1021,522,632,18263,3557.31225296443,11773.7154150198,5232.21343873518,2579.05138339921,3250.98814229249,94832.0158102767,524611.0056926,429778.989882323
"20","cont","KDHII_38_7Mar18_020.fcs",3,"Cont5-april29",1,189,2.4948,2.2941,0.2007,"8min","KDHII_38_7Mar18_020.fcs",214371,1674,3336,4367,1239,506,818,19751,1176,503,775,18844,3203.78674638764,13418.0368709517,6173.39312406577,2521.17588440458,4075.73492775287,98410.5630293971,405519.031141869,307108.468112471
