"OTUID"	"CR1.T0_S24_L001"	"CR2.T0.KDH_S64_L001"	"CR2.T0_S23_L001"	"CR3.T0_S22_L001"	"CR4.T0_S21_L001"	"Taxon"	"Confidence"
"OTU_1"	3055	7263	24	5504	7570	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313"	0.840367634945483
"OTU_10"	958	2112	7	1428	2204	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313"	0.911842715772206
"OTU_100"	4	5	0	1	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.941079605278938
"OTU_1002"	1	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999653128553915
"OTU_1003"	2	5	0	1	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade"	0.999873983800373
"OTU_1004"	0	3	0	2	4	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.924769773825051
"OTU_1007"	9	66	0	1	8	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__bacterium WHC4-2;D_5__bacterium WHC4-2;D_6__bacterium WHC4-2"	0.858423031492668
"OTU_1008"	0	2	0	3	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999559409282383
"OTU_101"	112	335	0	160	214	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade"	0.999840236888074
"OTU_1010"	0	4	0	0	1	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902"	0.915083008009066
"OTU_1011"	20	115	0	75	53	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.983959024100884
"OTU_1012"	22	58	0	8	7	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__bacterium WHC4-2;D_5__bacterium WHC4-2;D_6__bacterium WHC4-2"	0.872148490409121
"OTU_1013"	22	110	0	55	56	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.973725270513597
"OTU_1014"	0	0	0	2	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999478923529711
"OTU_1015"	23	58	0	11	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade III;D_5__unidentified marine bacterioplankton;D_6__unidentified marine bacterioplankton"	0.97094106256062
"OTU_1016"	58	83	0	28	69	"D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)"	0.999999289961583
"OTU_1017"	2	2	0	0	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999999972398038
"OTU_1018"	0	2	0	1	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.938225598582693
"OTU_102"	65	186	2	75	94	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__uncultured;D_6__Rhodobacteraceae bacterium REDSEA-S03_B4"	0.818181107305778
"OTU_1021"	19	82	0	40	65	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.849689368931305
"OTU_1022"	22	76	0	40	41	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.966104614568975
"OTU_1024"	47	24	0	19	11	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.932021992070614
"OTU_1025"	25	26	0	39	37	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.909820269668253
"OTU_1026"	7	29	1	25	19	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.997326796971401
"OTU_1028"	4	28	1	10	33	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.996216198555337
"OTU_1029"	0	0	0	1	2	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Rubritalea"	0.999997410710838
"OTU_103"	289	1179	3	519	644	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.950491495915744
"OTU_1031"	56	24	0	7	25	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.89448528722681
"OTU_1034"	2	37	0	20	35	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter"	0.999988633426916
